


板编号	板 1
日期	2023/4/24
时间	8:54:41
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE (使用板盖)
完成后弹出板	
检测	吸收光 光谱
	H1..H12
	开始: 400 nm,  停止: 999 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400																																																																																					0.697	0.606	0.629	0.541	0.560	0.639	0.549	0.649	0.629	0.612	0.623	0.604
401																																																																																					0.696	0.605	0.627	0.540	0.559	0.637	0.547	0.648	0.627	0.610	0.621	0.603
402																																																																																					0.694	0.603	0.625	0.538	0.557	0.635	0.546	0.646	0.626	0.608	0.619	0.601
403																																																																																					0.692	0.601	0.624	0.537	0.556	0.634	0.545	0.644	0.624	0.607	0.618	0.600
404																																																																																					0.690	0.600	0.622	0.535	0.555	0.632	0.543	0.643	0.622	0.605	0.616	0.598
405																																																																																					0.688	0.598	0.621	0.534	0.553	0.631	0.542	0.641	0.621	0.604	0.615	0.597
406																																																																																					0.687	0.597	0.620	0.533	0.552	0.629	0.541	0.640	0.619	0.602	0.613	0.595
407																																																																																					0.685	0.596	0.618	0.532	0.551	0.628	0.540	0.638	0.618	0.601	0.612	0.594
408																																																																																					0.683	0.594	0.617	0.530	0.550	0.626	0.538	0.637	0.616	0.599	0.610	0.593
409																																																																																					0.682	0.593	0.615	0.529	0.548	0.625	0.537	0.635	0.615	0.598	0.609	0.591
410																																																																																					0.680	0.591	0.614	0.528	0.547	0.623	0.536	0.634	0.613	0.596	0.607	0.590
411																																																																																					0.678	0.590	0.613	0.527	0.546	0.622	0.535	0.632	0.612	0.595	0.606	0.588
412																																																																																					0.677	0.589	0.611	0.526	0.545	0.620	0.533	0.631	0.610	0.593	0.604	0.587
413																																																																																					0.675	0.587	0.610	0.524	0.543	0.619	0.532	0.629	0.608	0.592	0.603	0.586
414																																																																																					0.674	0.586	0.608	0.523	0.542	0.617	0.531	0.628	0.607	0.591	0.601	0.584
415																																																																																					0.672	0.585	0.607	0.522	0.541	0.616	0.530	0.626	0.605	0.589	0.600	0.583
416																																																																																					0.671	0.583	0.606	0.521	0.540	0.615	0.528	0.625	0.604	0.588	0.599	0.582
417																																																																																					0.669	0.582	0.604	0.520	0.538	0.613	0.527	0.623	0.603	0.586	0.597	0.580
418																																																																																					0.668	0.581	0.603	0.519	0.537	0.612	0.526	0.622	0.601	0.585	0.596	0.579
419																																																																																					0.666	0.579	0.602	0.517	0.536	0.610	0.525	0.620	0.600	0.584	0.594	0.577
420																																																																																					0.664	0.578	0.601	0.516	0.535	0.609	0.523	0.619	0.598	0.582	0.593	0.576
421																																																																																					0.663	0.577	0.599	0.515	0.534	0.608	0.522	0.618	0.597	0.581	0.592	0.575
422																																																																																					0.662	0.576	0.598	0.514	0.532	0.607	0.522	0.617	0.596	0.580	0.590	0.574
423																																																																																					0.661	0.575	0.597	0.514	0.532	0.606	0.521	0.615	0.595	0.579	0.589	0.573
424																																																																																					0.659	0.574	0.596	0.512	0.530	0.604	0.520	0.614	0.593	0.578	0.588	0.572
425																																																																																					0.658	0.573	0.595	0.511	0.529	0.603	0.519	0.613	0.592	0.577	0.587	0.571
426																																																																																					0.657	0.571	0.594	0.511	0.528	0.602	0.518	0.612	0.591	0.575	0.586	0.569
427																																																																																					0.656	0.570	0.593	0.510	0.527	0.601	0.517	0.611	0.590	0.574	0.585	0.568
428																																																																																					0.654	0.569	0.592	0.509	0.526	0.600	0.516	0.609	0.588	0.573	0.583	0.567
429																																																																																					0.653	0.568	0.590	0.508	0.525	0.598	0.515	0.608	0.587	0.572	0.582	0.566
430																																																																																					0.651	0.567	0.589	0.506	0.524	0.597	0.513	0.607	0.586	0.570	0.581	0.565
431																																																																																					0.650	0.566	0.588	0.505	0.523	0.596	0.512	0.605	0.585	0.569	0.579	0.563
432																																																																																					0.649	0.564	0.587	0.504	0.522	0.595	0.511	0.604	0.583	0.568	0.578	0.562
433																																																																																					0.647	0.564	0.586	0.503	0.521	0.593	0.510	0.603	0.582	0.567	0.577	0.561
434																																																																																					0.646	0.562	0.585	0.503	0.520	0.592	0.509	0.602	0.581	0.566	0.576	0.560
435																																																																																					0.645	0.561	0.583	0.502	0.519	0.591	0.509	0.600	0.580	0.565	0.575	0.559
436																																																																																					0.644	0.560	0.582	0.501	0.518	0.590	0.508	0.599	0.579	0.564	0.573	0.557
437																																																																																					0.642	0.559	0.581	0.500	0.517	0.589	0.506	0.598	0.577	0.563	0.572	0.556
438																																																																																					0.641	0.558	0.580	0.499	0.516	0.587	0.505	0.597	0.576	0.561	0.571	0.555
439																																																																																					0.640	0.557	0.579	0.498	0.515	0.586	0.504	0.596	0.575	0.560	0.570	0.554
440																																																																																					0.639	0.556	0.578	0.497	0.514	0.585	0.504	0.595	0.574	0.559	0.569	0.553
441																																																																																					0.638	0.555	0.577	0.496	0.513	0.584	0.503	0.594	0.573	0.558	0.568	0.552
442																																																																																					0.637	0.554	0.576	0.495	0.512	0.583	0.502	0.593	0.572	0.557	0.567	0.551
443																																																																																					0.636	0.553	0.575	0.494	0.511	0.582	0.501	0.592	0.571	0.556	0.566	0.550
444																																																																																					0.634	0.552	0.574	0.494	0.510	0.581	0.500	0.590	0.570	0.555	0.565	0.549
445																																																																																					0.633	0.551	0.573	0.493	0.509	0.580	0.499	0.589	0.568	0.554	0.564	0.548
446																																																																																					0.632	0.550	0.572	0.492	0.508	0.579	0.498	0.588	0.568	0.553	0.563	0.547
447																																																																																					0.631	0.549	0.571	0.491	0.508	0.578	0.498	0.587	0.567	0.552	0.562	0.546
448																																																																																					0.630	0.548	0.570	0.490	0.507	0.577	0.497	0.586	0.566	0.551	0.561	0.545
449																																																																																					0.629	0.547	0.569	0.490	0.506	0.576	0.496	0.585	0.565	0.551	0.560	0.544
450																																																																																					0.628	0.547	0.569	0.489	0.505	0.575	0.495	0.584	0.564	0.550	0.559	0.543
451																																																																																					0.627	0.546	0.568	0.488	0.504	0.574	0.494	0.583	0.563	0.549	0.558	0.542
452																																																																																					0.626	0.545	0.567	0.487	0.504	0.573	0.494	0.583	0.562	0.548	0.557	0.541
453																																																																																					0.625	0.544	0.566	0.487	0.503	0.573	0.493	0.582	0.561	0.547	0.556	0.540
454																																																																																					0.625	0.543	0.565	0.486	0.502	0.572	0.492	0.581	0.560	0.546	0.555	0.540
455																																																																																					0.624	0.543	0.565	0.485	0.501	0.571	0.492	0.580	0.559	0.545	0.555	0.539
456																																																																																					0.623	0.542	0.564	0.485	0.501	0.570	0.491	0.579	0.558	0.545	0.554	0.538
457																																																																																					0.622	0.541	0.563	0.484	0.500	0.569	0.490	0.578	0.558	0.544	0.553	0.537
458																																																																																					0.622	0.541	0.563	0.484	0.500	0.569	0.490	0.578	0.557	0.543	0.552	0.537
459																																																																																					0.621	0.540	0.562	0.483	0.499	0.568	0.489	0.577	0.556	0.543	0.551	0.536
460																																																																																					0.621	0.540	0.562	0.483	0.499	0.568	0.489	0.577	0.556	0.542	0.551	0.535
461																																																																																					0.620	0.539	0.561	0.483	0.498	0.567	0.489	0.576	0.555	0.542	0.550	0.535
462																																																																																					0.620	0.539	0.561	0.483	0.498	0.567	0.488	0.576	0.555	0.541	0.550	0.535
463																																																																																					0.620	0.539	0.561	0.482	0.498	0.566	0.488	0.575	0.555	0.541	0.550	0.534
464																																																																																					0.619	0.538	0.560	0.482	0.497	0.566	0.488	0.575	0.554	0.540	0.549	0.534
465																																																																																					0.619	0.538	0.560	0.482	0.497	0.566	0.487	0.575	0.554	0.540	0.549	0.534
466																																																																																					0.619	0.538	0.560	0.482	0.497	0.566	0.487	0.574	0.554	0.540	0.549	0.533
467																																																																																					0.619	0.538	0.560	0.482	0.497	0.565	0.487	0.574	0.554	0.540	0.548	0.533
468																																																																																					0.619	0.538	0.560	0.482	0.497	0.565	0.487	0.575	0.554	0.540	0.548	0.533
469																																																																																					0.619	0.538	0.560	0.482	0.497	0.566	0.487	0.574	0.554	0.540	0.548	0.533
470																																																																																					0.619	0.538	0.561	0.482	0.497	0.566	0.487	0.575	0.554	0.540	0.548	0.533
471																																																																																					0.620	0.539	0.561	0.482	0.497	0.566	0.487	0.575	0.554	0.540	0.549	0.533
472																																																																																					0.620	0.539	0.561	0.482	0.497	0.566	0.488	0.575	0.554	0.540	0.549	0.533
473																																																																																					0.621	0.539	0.562	0.483	0.498	0.567	0.488	0.576	0.555	0.540	0.549	0.534
474																																																																																					0.621	0.540	0.563	0.483	0.498	0.567	0.489	0.576	0.555	0.541	0.550	0.534
475																																																																																					0.622	0.541	0.564	0.484	0.499	0.568	0.489	0.577	0.556	0.542	0.550	0.535
476																																																																																					0.623	0.542	0.565	0.485	0.500	0.569	0.490	0.578	0.557	0.542	0.551	0.535
