

软件版本	3.11.19



实验文件路径:	
方案文件路径:	



板编号	板 1
日期	2023/4/30
时间	10:35:40
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A12
	开始: 400 nm,  停止: 999 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.273	0.247	0.358	0.497	0.553	0.594	0.762	0.785	0.671	0.652	0.630	0.568																																																																																				
401	0.272	0.247	0.357	0.495	0.551	0.593	0.760	0.783	0.670	0.651	0.628	0.567																																																																																				
402	0.271	0.246	0.356	0.494	0.550	0.591	0.758	0.781	0.668	0.649	0.627	0.565																																																																																				
403	0.270	0.245	0.355	0.493	0.548	0.590	0.756	0.779	0.666	0.647	0.625	0.563																																																																																				
404	0.269	0.244	0.354	0.491	0.547	0.588	0.754	0.777	0.664	0.646	0.623	0.562																																																																																				
405	0.269	0.244	0.353	0.490	0.545	0.587	0.752	0.776	0.663	0.644	0.622	0.561																																																																																				
406	0.268	0.243	0.352	0.489	0.544	0.585	0.751	0.774	0.662	0.643	0.621	0.560																																																																																				
407	0.267	0.243	0.352	0.488	0.543	0.584	0.749	0.772	0.660	0.642	0.620	0.558																																																																																				
408	0.266	0.242	0.351	0.487	0.542	0.583	0.747	0.770	0.659	0.640	0.618	0.557																																																																																				
409	0.266	0.241	0.350	0.486	0.540	0.581	0.746	0.769	0.657	0.639	0.617	0.556																																																																																				
410	0.265	0.241	0.349	0.484	0.539	0.580	0.744	0.767	0.656	0.637	0.615	0.554																																																																																				
411	0.264	0.240	0.348	0.483	0.538	0.579	0.743	0.765	0.654	0.636	0.614	0.553																																																																																				
412	0.264	0.240	0.348	0.482	0.537	0.577	0.741	0.764	0.653	0.634	0.613	0.552																																																																																				
413	0.263	0.239	0.347	0.481	0.535	0.576	0.739	0.762	0.652	0.633	0.611	0.551																																																																																				
414	0.262	0.238	0.346	0.480	0.534	0.575	0.738	0.761	0.650	0.632	0.610	0.550																																																																																				
415	0.262	0.238	0.345	0.479	0.533	0.573	0.736	0.759	0.649	0.630	0.609	0.548																																																																																				
416	0.261	0.237	0.345	0.478	0.532	0.572	0.735	0.757	0.648	0.629	0.608	0.547																																																																																				
417	0.261	0.236	0.344	0.477	0.531	0.571	0.733	0.756	0.646	0.628	0.607	0.546																																																																																				
418	0.260	0.236	0.343	0.476	0.529	0.569	0.732	0.754	0.645	0.627	0.605	0.545																																																																																				
419	0.259	0.235	0.342	0.474	0.528	0.568	0.730	0.753	0.644	0.625	0.604	0.544																																																																																				
420	0.259	0.235	0.342	0.473	0.527	0.567	0.729	0.751	0.643	0.624	0.603	0.543																																																																																				
421	0.258	0.234	0.341	0.473	0.526	0.566	0.728	0.750	0.642	0.623	0.602	0.542																																																																																				
422	0.258	0.234	0.341	0.472	0.525	0.565	0.727	0.749	0.641	0.622	0.601	0.541																																																																																				
423	0.257	0.233	0.340	0.471	0.524	0.564	0.726	0.748	0.640	0.621	0.600	0.541																																																																																				
424	0.257	0.233	0.339	0.470	0.523	0.563	0.725	0.747	0.639	0.620	0.599	0.540																																																																																				
425	0.256	0.233	0.339	0.469	0.522	0.562	0.723	0.746	0.638	0.619	0.598	0.539																																																																																				
426	0.256	0.232	0.338	0.468	0.521	0.561	0.722	0.744	0.637	0.618	0.597	0.538																																																																																				
427	0.255	0.232	0.338	0.467	0.520	0.560	0.721	0.743	0.636	0.618	0.597	0.537																																																																																				
428	0.255	0.231	0.337	0.467	0.520	0.559	0.720	0.742	0.635	0.617	0.596	0.536																																																																																				
429	0.254	0.231	0.336	0.466	0.519	0.558	0.719	0.741	0.634	0.616	0.595	0.535																																																																																				
430	0.254	0.230	0.336	0.465	0.518	0.556	0.718	0.740	0.633	0.614	0.594	0.535																																																																																				
431	0.253	0.230	0.335	0.464	0.517	0.555	0.717	0.739	0.632	0.614	0.593	0.534																																																																																				
432	0.253	0.229	0.335	0.463	0.516	0.554	0.716	0.738	0.631	0.613	0.592	0.533																																																																																				
433	0.252	0.229	0.334	0.462	0.515	0.553	0.715	0.737	0.630	0.612	0.591	0.532																																																																																				
434	0.252	0.228	0.333	0.462	0.514	0.552	0.714	0.736	0.629	0.611	0.590	0.531																																																																																				
435	0.251	0.228	0.333	0.461	0.513	0.551	0.713	0.734	0.629	0.610	0.590	0.531																																																																																				
436	0.251	0.228	0.332	0.460	0.512	0.551	0.713	0.734	0.628	0.609	0.589	0.530																																																																																				
437	0.250	0.227	0.332	0.459	0.511	0.550	0.712	0.733	0.627	0.609	0.588	0.529																																																																																				
438	0.250	0.227	0.331	0.459	0.511	0.549	0.711	0.732	0.626	0.608	0.587	0.529																																																																																				
439	0.249	0.226	0.330	0.458	0.510	0.548	0.710	0.731	0.625	0.607	0.586	0.528																																																																																				
440	0.249	0.226	0.330	0.457	0.509	0.547	0.709	0.730	0.625	0.606	0.586	0.527																																																																																				
441	0.249	0.226	0.330	0.457	0.508	0.546	0.708	0.729	0.624	0.606	0.585	0.527																																																																																				
442	0.248	0.226	0.329	0.456	0.508	0.546	0.708	0.728	0.623	0.605	0.585	0.526																																																																																				
443	0.248	0.225	0.329	0.455	0.507	0.545	0.707	0.728	0.623	0.605	0.584	0.526																																																																																				
444	0.248	0.225	0.328	0.455	0.506	0.544	0.707	0.727	0.622	0.604	0.584	0.525																																																																																				
445	0.247	0.225	0.328	0.454	0.506	0.543	0.706	0.726	0.622	0.604	0.583	0.525																																																																																				
446	0.247	0.224	0.327	0.454	0.505	0.543	0.706	0.726	0.621	0.603	0.583	0.524																																																																																				
447	0.247	0.224	0.327	0.453	0.504	0.542	0.705	0.725	0.621	0.603	0.582	0.524																																																																																				
448	0.246	0.224	0.327	0.453	0.504	0.541	0.705	0.725	0.621	0.602	0.582	0.524																																																																																				
449	0.246	0.223	0.326	0.452	0.503	0.541	0.705	0.725	0.620	0.602	0.582	0.524																																																																																				
450	0.246	0.223	0.326	0.452	0.503	0.540	0.705	0.724	0.620	0.602	0.582	0.523																																																																																				
451	0.246	0.223	0.326	0.451	0.502	0.540	0.704	0.724	0.620	0.601	0.581	0.523																																																																																				
452	0.245	0.223	0.325	0.451	0.502	0.539	0.704	0.724	0.620	0.601	0.581	0.523																																																																																				
453	0.245	0.222	0.325	0.450	0.501	0.539	0.704	0.724	0.619	0.601	0.581	0.523																																																																																				
454	0.245	0.222	0.325	0.450	0.501	0.538	0.704	0.724	0.620	0.601	0.581	0.523																																																																																				
455	0.245	0.222	0.325	0.450	0.501	0.538	0.704	0.724	0.620	0.601	0.581	0.523																																																																																				
456	0.244	0.222	0.324	0.449	0.500	0.538	0.704	0.724	0.620	0.601	0.581	0.523																																																																																				
457	0.244	0.222	0.324	0.449	0.500	0.537	0.705	0.724	0.620	0.601	0.581	0.523																																																																																				
458	0.244	0.221	0.324	0.449	0.500	0.537	0.705	0.724	0.620	0.601	0.581	0.523																																																																																				
459	0.244	0.221	0.324	0.449	0.500	0.537	0.705	0.724	0.620	0.601	0.581	0.523																																																																																				
460	0.244	0.221	0.324	0.449	0.500	0.537	0.706	0.725	0.620	0.602	0.581	0.523																																																																																				
461	0.244	0.221	0.324	0.449	0.500	0.537	0.706	0.726	0.621	0.602	0.582	0.524																																																																																				
462	0.244	0.221	0.324	0.449	0.500	0.537	0.707	0.726	0.621	0.603	0.582	0.524																																																																																				
463	0.244	0.221	0.324	0.449	0.500	0.537	0.708	0.727	0.622	0.603	0.583	0.524																																																																																				
464	0.244	0.221	0.324	0.449	0.500	0.537	0.709	0.728	0.622	0.604	0.583	0.525																																																																																				
465	0.244	0.221	0.324	0.449	0.500	0.537	0.710	0.729	0.623	0.604	0.584	0.526																																																																																				
466	0.244	0.221	0.324	0.449	0.500	0.537	0.711	0.730	0.624	0.605	0.585	0.526																																																																																				
467	0.244	0.221	0.324	0.449	0.501	0.538	0.712	0.731	0.625	0.606	0.586	0.527																																																																																				
468	0.244	0.222	0.325	0.450	0.501	0.538	0.713	0.733	0.626	0.607	0.587	0.528																																																																																				
469	0.244	0.222	0.325	0.450	0.502	0.539	0.715	0.734	0.627	0.608	0.588	0.529																																																																																				
470	0.245	0.222	0.325	0.451	0.502	0.539	0.717	0.736	0.629	0.610	0.589	0.530																																																																																				
471	0.245	0.222	0.326	0.451	0.503	0.540	0.719	0.738	0.630	0.611	0.590	0.531																																																																																				
472	0.245	0.222	0.326	0.452	0.504	0.541	0.721	0.740	0.632	0.613	0.592	0.533																																																																																				
473	0.245	0.223	0.327	0.453	0.505	0.542	0.723	0.742	0.634	0.615	0.593	0.534																																																																																				
474	0.246	0.223	0.327	0.454	0.506	0.543	0.726	0.745	0.636	0.617	0.595	0.536																																																																																				
475	0.246	0.223	0.328	0.455	0.507	0.545	0.729	0.748	0.638	0.619	0.598	0.538																																																																																				
476	0.247	0.224	0.329	0.456	0.509	0.546	0.732	0.751	0.641	0.621	0.600	0.540																																																																																				
