

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 7
日期	2023/7/18
时间	19:00:07
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.579	0.529	0.489	0.398	0.429	0.154																																																																																										
401	0.578	0.528	0.488	0.397	0.428	0.154																																																																																										
402	0.576	0.527	0.487	0.396	0.427	0.154																																																																																										
403	0.576	0.526	0.486	0.395	0.426	0.154																																																																																										
404	0.574	0.525	0.485	0.395	0.425	0.154																																																																																										
405	0.573	0.524	0.484	0.394	0.424	0.154																																																																																										
406	0.572	0.523	0.483	0.393	0.423	0.153																																																																																										
407	0.571	0.522	0.483	0.392	0.422	0.153																																																																																										
408	0.570	0.521	0.482	0.391	0.421	0.153																																																																																										
409	0.569	0.520	0.481	0.391	0.420	0.153																																																																																										
410	0.568	0.519	0.480	0.390	0.419	0.153																																																																																										
411	0.567	0.518	0.479	0.389	0.418	0.153																																																																																										
412	0.566	0.517	0.478	0.388	0.417	0.152																																																																																										
413	0.565	0.515	0.477	0.387	0.416	0.152																																																																																										
414	0.564	0.514	0.476	0.386	0.415	0.152																																																																																										
415	0.563	0.514	0.476	0.386	0.414	0.152																																																																																										
416	0.562	0.512	0.475	0.385	0.414	0.151																																																																																										
417	0.561	0.511	0.474	0.384	0.413	0.151																																																																																										
418	0.560	0.510	0.473	0.383	0.412	0.151																																																																																										
419	0.559	0.509	0.472	0.383	0.411	0.151																																																																																										
420	0.558	0.508	0.472	0.382	0.410	0.150																																																																																										
421	0.557	0.508	0.471	0.381	0.409	0.150																																																																																										
422	0.557	0.507	0.470	0.380	0.409	0.150																																																																																										
423	0.556	0.506	0.469	0.380	0.408	0.150																																																																																										
424	0.555	0.505	0.469	0.379	0.407	0.150																																																																																										
425	0.554	0.504	0.468	0.378	0.407	0.150																																																																																										
426	0.554	0.503	0.467	0.378	0.406	0.150																																																																																										
427	0.553	0.502	0.466	0.377	0.406	0.149																																																																																										
428	0.552	0.501	0.465	0.376	0.405	0.149																																																																																										
429	0.550	0.500	0.465	0.375	0.404	0.149																																																																																										
430	0.550	0.500	0.464	0.375	0.403	0.149																																																																																										
431	0.549	0.499	0.463	0.374	0.403	0.149																																																																																										
432	0.548	0.498	0.462	0.373	0.402	0.148																																																																																										
433	0.547	0.497	0.462	0.373	0.401	0.148																																																																																										
434	0.547	0.496	0.461	0.372	0.401	0.148																																																																																										
435	0.545	0.495	0.460	0.371	0.400	0.148																																																																																										
436	0.545	0.495	0.459	0.371	0.399	0.148																																																																																										
437	0.543	0.494	0.458	0.370	0.399	0.148																																																																																										
438	0.542	0.493	0.457	0.369	0.398	0.147																																																																																										
439	0.541	0.492	0.457	0.369	0.397	0.147																																																																																										
440	0.541	0.492	0.456	0.368	0.397	0.147																																																																																										
441	0.540	0.491	0.455	0.368	0.396	0.147																																																																																										
442	0.539	0.490	0.454	0.367	0.396	0.147																																																																																										
443	0.538	0.489	0.453	0.367	0.395	0.147																																																																																										
444	0.537	0.489	0.453	0.366	0.395	0.147																																																																																										
445	0.536	0.488	0.452	0.365	0.394	0.146																																																																																										
446	0.535	0.487	0.452	0.365	0.393	0.146																																																																																										
447	0.535	0.487	0.451	0.365	0.393	0.146																																																																																										
448	0.534	0.486	0.451	0.364	0.392	0.146																																																																																										
449	0.534	0.485	0.450	0.364	0.392	0.146																																																																																										
450	0.533	0.485	0.450	0.363	0.392	0.146																																																																																										
451	0.533	0.484	0.449	0.363	0.391	0.146																																																																																										
452	0.532	0.484	0.449	0.363	0.391	0.145																																																																																										
453	0.532	0.483	0.448	0.362	0.390	0.145																																																																																										
454	0.531	0.483	0.448	0.362	0.390	0.145																																																																																										
455	0.531	0.483	0.447	0.361	0.390	0.145																																																																																										
456	0.530	0.482	0.447	0.361	0.389	0.145																																																																																										
457	0.530	0.482	0.447	0.361	0.389	0.144																																																																																										
458	0.530	0.481	0.447	0.361	0.389	0.144																																																																																										
459	0.530	0.481	0.447	0.360	0.388	0.144																																																																																										
460	0.529	0.481	0.446	0.360	0.388	0.144																																																																																										
461	0.529	0.481	0.446	0.360	0.388	0.144																																																																																										
462	0.529	0.481	0.446	0.360	0.388	0.144																																																																																										
463	0.528	0.480	0.446	0.360	0.388	0.144																																																																																										
464	0.529	0.480	0.446	0.360	0.388	0.144																																																																																										
465	0.529	0.480	0.446	0.360	0.388	0.143																																																																																										
