

软件版本	3.11.19



实验文件路径:	
方案文件路径:	



板编号	板 1
日期	2023/8/14
时间	15:05:30
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A5
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.282	0.259	0.260	0.245	0.248																																																																																											
401	0.281	0.259	0.259	0.244	0.248																																																																																											
402	0.280	0.258	0.259	0.243	0.247																																																																																											
403	0.280	0.258	0.258	0.243	0.247																																																																																											
404	0.279	0.257	0.258	0.242	0.246																																																																																											
405	0.278	0.257	0.257	0.241	0.245																																																																																											
406	0.278	0.256	0.257	0.241	0.245																																																																																											
407	0.277	0.256	0.256	0.240	0.244																																																																																											
408	0.276	0.255	0.256	0.239	0.244																																																																																											
409	0.276	0.255	0.255	0.239	0.243																																																																																											
410	0.276	0.254	0.255	0.238	0.242																																																																																											
411	0.275	0.253	0.254	0.237	0.241																																																																																											
412	0.275	0.253	0.254	0.237	0.241																																																																																											
413	0.274	0.252	0.253	0.236	0.240																																																																																											
414	0.273	0.252	0.253	0.235	0.239																																																																																											
415	0.273	0.251	0.253	0.234	0.239																																																																																											
416	0.272	0.251	0.252	0.234	0.238																																																																																											
417	0.272	0.250	0.252	0.233	0.237																																																																																											
418	0.271	0.249	0.251	0.232	0.236																																																																																											
419	0.271	0.249	0.251	0.231	0.235																																																																																											
420	0.270	0.248	0.250	0.231	0.235																																																																																											
421	0.270	0.248	0.250	0.230	0.234																																																																																											
422	0.270	0.247	0.249	0.230	0.234																																																																																											
423	0.269	0.247	0.249	0.229	0.233																																																																																											
424	0.269	0.246	0.248	0.228	0.232																																																																																											
425	0.268	0.246	0.248	0.228	0.232																																																																																											
426	0.268	0.245	0.247	0.227	0.231																																																																																											
427	0.267	0.245	0.247	0.227	0.231																																																																																											
428	0.266	0.244	0.247	0.226	0.230																																																																																											
429	0.266	0.244	0.246	0.225	0.229																																																																																											
430	0.266	0.243	0.246	0.225	0.229																																																																																											
431	0.265	0.243	0.245	0.224	0.228																																																																																											
432	0.265	0.242	0.245	0.224	0.228																																																																																											
433	0.264	0.242	0.244	0.223	0.227																																																																																											
434	0.263	0.241	0.244	0.222	0.226																																																																																											
435	0.263	0.241	0.243	0.222	0.226																																																																																											
436	0.262	0.241	0.243	0.221	0.225																																																																																											
437	0.262	0.240	0.242	0.221	0.225																																																																																											
438	0.261	0.239	0.242	0.220	0.224																																																																																											
439	0.261	0.239	0.241	0.220	0.224																																																																																											
440	0.260	0.239	0.241	0.219	0.223																																																																																											
441	0.260	0.238	0.240	0.219	0.223																																																																																											
442	0.259	0.238	0.240	0.218	0.222																																																																																											
443	0.259	0.237	0.240	0.218	0.222																																																																																											
444	0.258	0.237	0.239	0.217	0.221																																																																																											
445	0.258	0.236	0.239	0.217	0.221																																																																																											
446	0.258	0.236	0.239	0.216	0.221																																																																																											
447	0.257	0.236	0.238	0.216	0.220																																																																																											
448	0.257	0.235	0.238	0.216	0.220																																																																																											
449	0.256	0.235	0.238	0.216	0.220																																																																																											
450	0.256	0.235	0.237	0.215	0.219																																																																																											
451	0.256	0.234	0.237	0.215	0.219																																																																																											
452	0.255	0.234	0.237	0.214	0.219																																																																																											
453	0.255	0.234	0.236	0.214	0.218																																																																																											
454	0.255	0.234	0.236	0.214	0.218																																																																																											
455	0.255	0.233	0.236	0.214	0.218																																																																																											
456	0.255	0.233	0.236	0.213	0.217																																																																																											
457	0.254	0.233	0.236	0.213	0.217																																																																																											
458	0.254	0.232	0.235	0.213	0.217																																																																																											
459	0.254	0.232	0.235	0.212	0.216																																																																																											
460	0.254	0.232	0.235	0.212	0.216																																																																																											
461	0.253	0.232	0.235	0.212	0.217																																																																																											
