

软件版本	3.11.19



实验文件路径:	C:\Users\86183\Desktop\A1-A5孔位，400-800nm.xpt
方案文件路径:	



板编号	板 3
日期	2023/11/3
时间	15:36:56
检测仪类型:	Epoch 2
检测仪序列号:	23041404
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A5
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.638	0.593	0.495	0.517	0.423																																																																																											
401	0.637	0.591	0.494	0.516	0.422																																																																																											
402	0.636	0.590	0.493	0.514	0.421																																																																																											
403	0.634	0.588	0.491	0.513	0.420																																																																																											
404	0.633	0.587	0.490	0.512	0.419																																																																																											
405	0.632	0.585	0.489	0.511	0.418																																																																																											
406	0.631	0.583	0.487	0.509	0.417																																																																																											
407	0.631	0.582	0.486	0.508	0.416																																																																																											
408	0.631	0.580	0.485	0.506	0.415																																																																																											
409	0.629	0.579	0.483	0.505	0.413																																																																																											
410	0.628	0.577	0.482	0.504	0.412																																																																																											
411	0.627	0.576	0.481	0.502	0.411																																																																																											
412	0.625	0.574	0.480	0.501	0.410																																																																																											
413	0.623	0.573	0.478	0.500	0.409																																																																																											
414	0.621	0.572	0.477	0.499	0.408																																																																																											
415	0.619	0.570	0.476	0.497	0.407																																																																																											
416	0.617	0.569	0.475	0.496	0.407																																																																																											
417	0.616	0.568	0.474	0.495	0.406																																																																																											
418	0.614	0.567	0.473	0.494	0.405																																																																																											
419	0.614	0.565	0.472	0.493	0.404																																																																																											
420	0.612	0.564	0.471	0.492	0.404																																																																																											
421	0.611	0.563	0.470	0.491	0.403																																																																																											
422	0.610	0.562	0.469	0.490	0.402																																																																																											
423	0.609	0.561	0.468	0.490	0.402																																																																																											
424	0.608	0.560	0.468	0.489	0.401																																																																																											
425	0.607	0.559	0.467	0.488	0.400																																																																																											
426	0.606	0.559	0.466	0.487	0.400																																																																																											
427	0.605	0.558	0.465	0.486	0.399																																																																																											
428	0.604	0.557	0.464	0.485	0.399																																																																																											
429	0.603	0.556	0.463	0.485	0.398																																																																																											
430	0.603	0.555	0.463	0.484	0.397																																																																																											
431	0.602	0.554	0.462	0.483	0.397																																																																																											
432	0.601	0.553	0.461	0.482	0.396																																																																																											
433	0.600	0.553	0.460	0.482	0.395																																																																																											
434	0.599	0.552	0.460	0.481	0.395																																																																																											
435	0.598	0.551	0.459	0.480	0.394																																																																																											
436	0.598	0.550	0.459	0.479	0.393																																																																																											
437	0.597	0.549	0.458	0.479	0.393																																																																																											
438	0.597	0.549	0.457	0.478	0.392																																																																																											
439	0.596	0.548	0.457	0.477	0.392																																																																																											
440	0.595	0.547	0.456	0.477	0.391																																																																																											
441	0.595	0.547	0.456	0.476	0.391																																																																																											
442	0.594	0.546	0.455	0.476	0.390																																																																																											
443	0.594	0.546	0.455	0.475	0.390																																																																																											
444	0.593	0.545	0.454	0.475	0.390																																																																																											
445	0.593	0.545	0.454	0.474	0.389																																																																																											
446	0.593	0.545	0.454	0.474	0.389																																																																																											
447	0.593	0.545	0.453	0.474	0.389																																																																																											
448	0.592	0.544	0.453	0.473	0.389																																																																																											
