

软件版本	3.11.19



实验文件路径:	
方案文件路径:	



板编号	板 1
日期	2023/12/26
时间	10:56:24
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	C1..C5
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400																									1.466	1.401	1.501	1.580	2.300																																																																			
401																									1.466	1.402	1.500	1.580	2.300																																																																			
402																									1.465	1.402	1.500	1.580	2.302																																																																			
403																									1.464	1.401	1.499	1.580	2.303																																																																			
404																									1.464	1.400	1.499	1.579	2.304																																																																			
405																									1.463	1.400	1.498	1.579	2.305																																																																			
406																									1.463	1.399	1.497	1.579	2.304																																																																			
407																									1.462	1.399	1.496	1.578	2.304																																																																			
408																									1.461	1.398	1.496	1.577	2.304																																																																			
409																									1.460	1.397	1.495	1.577	2.304																																																																			
410																									1.460	1.396	1.494	1.576	2.304																																																																			
411																									1.459	1.395	1.493	1.575	2.303																																																																			
412																									1.458	1.395	1.492	1.574	2.303																																																																			
413																									1.457	1.394	1.491	1.573	2.302																																																																			
414																									1.456	1.393	1.490	1.572	2.301																																																																			
415																									1.455	1.392	1.489	1.571	2.300																																																																			
416																									1.454	1.391	1.488	1.570	2.299																																																																			
417																									1.453	1.390	1.487	1.569	2.298																																																																			
418																									1.452	1.389	1.486	1.568	2.297																																																																			
419																									1.451	1.388	1.485	1.567	2.296																																																																			
420																									1.450	1.387	1.484	1.565	2.294																																																																			
421																									1.449	1.386	1.484	1.565	2.293																																																																			
422																									1.448	1.385	1.482	1.564	2.292																																																																			
423																									1.447	1.384	1.481	1.563	2.291																																																																			
424																									1.446	1.383	1.480	1.562	2.289																																																																			
425																									1.445	1.383	1.479	1.560	2.288																																																																			
426																									1.444	1.382	1.478	1.560	2.287																																																																			
427																									1.444	1.381	1.477	1.559	2.284																																																																			
428																									1.442	1.380	1.476	1.558	2.283																																																																			
429																									1.441	1.379	1.475	1.556	2.282																																																																			
430																									1.440	1.377	1.474	1.555	2.280																																																																			
431																									1.439	1.376	1.472	1.554	2.280																																																																			
432																									1.437	1.375	1.471	1.552	2.277																																																																			
433																									1.436	1.374	1.470	1.551	2.276																																																																			
434																									1.435	1.373	1.468	1.550	2.273																																																																			
435																									1.433	1.371	1.467	1.548	2.272																																																																			
436																									1.432	1.370	1.465	1.547	2.269																																																																			
437																									1.431	1.369	1.464	1.545	2.268																																																																			
438																									1.429	1.367	1.462	1.543	2.266																																																																			
439																									1.427	1.366	1.461	1.542	2.263																																																																			
440																									1.426	1.364	1.459	1.540	2.261																																																																			
441																									1.424	1.363	1.458	1.539	2.259																																																																			
442																									1.423	1.361	1.456	1.537	2.257																																																																			
443																									1.421	1.360	1.454	1.536	2.254																																																																			
444																									1.420	1.358	1.452	1.534	2.252																																																																			
445																									1.418	1.357	1.451	1.532	2.250																																																																			
446																									1.416	1.355	1.449	1.530	2.247																																																																			
447																									1.415	1.353	1.447	1.529	2.244																																																																			
448																									1.413	1.352	1.445	1.527	2.242																																																																			
449																									1.411	1.351	1.444	1.525	2.240																																																																			
450																									1.410	1.349	1.442	1.523	2.237																																																																			
451																									1.408	1.347	1.440	1.521	2.235																																																																			
452																									1.406	1.346	1.438	1.519	2.232																																																																			
453																									1.405	1.344	1.437	1.518	2.229																																																																			
454																									1.403	1.343	1.435	1.516	2.227																																																																			
455																									1.401	1.341	1.433	1.514	2.224																																																																			
456																									1.399	1.339	1.431	1.512	2.221																																																																			
457																									1.397	1.337	1.429	1.510	2.220																																																																			
458																									1.396	1.336	1.428	1.508	2.217																																																																			
459																									1.394	1.334	1.426	1.506	2.214																																																																			
460																									1.393	1.333	1.425	1.505	2.212																																																																			
461																									1.392	1.332	1.423	1.504	2.210																																																																			
462																									1.390	1.331	1.421	1.503	2.208																																																																			
463																									1.389	1.330	1.420	1.501	2.206																																																																			
464																									1.387	1.328	1.419	1.499	2.204																																																																			
465																									1.386	1.327	1.417	1.498	2.202																																																																			
466																									1.384	1.325	1.416	1.496	2.200																																																																			
467																									1.383	1.324	1.414	1.495	2.198																																																																			
468																									1.382	1.323	1.413	1.494	2.196																																																																			
469																									1.381	1.322	1.412	1.493	2.194																																																																			
470																									1.380	1.321	1.411	1.491	2.193																																																																			
471																									1.379	1.320	1.410	1.490	2.192																																																																			
472																									1.378	1.320	1.409	1.490	2.191																																																																			
473																									1.377	1.319	1.409	1.489	2.190																																																																			
474																									1.377	1.319	1.408	1.489	2.189																																																																			
475																									1.377	1.319	1.408	1.488	2.190																																																																			
476																									1.377	1.319	1.408	1.488	2.189																																																																			
477																									1.377	1.319	1.409	1.489	2.190																																																																			
478																									1.378	1.320	1.409	1.490	2.192																																																																			
479																									1.379	1.321	1.410	1.491	2.193																																																																			
480																									1.381	1.322	1.412	1.492	2.196																																																																			
481																									1.383	1.324	1.414	1.494	2.200																																																																			
482																									1.385	1.327	1.417	1.496	2.206																																																																			
483																									1.388	1.330	1.420	1.500	2.209																																																																			
484																									1.391	1.332	1.423	1.504	2.213																																																																			
485																									1.395	1.336	1.426	1.508	2.218																																																																			
486																									1.399	1.340	1.430	1.513	2.226																																																																			
487																									1.405	1.346	1.435	1.518	2.235																																																																			
488																									1.411	1.352	1.442	1.526	2.244																																																																			
489																									1.418	1.358	1.448	1.533	2.255																																																																			
490																									1.426	1.366	1.457	1.542	2.268																																																																			
491																									1.435	1.376	1.467	1.552	2.285																																																																			
492																									1.445	1.384	1.476	1.563	2.299																																																																			
493																									1.455	1.394	1.486	1.574	2.315																																																																			
494																									1.467	1.406	1.498	1.587	2.335																																																																			
495																									1.482	1.421	1.515	1.604	2.361																																																																			
496																									1.498	1.435	1.530	1.619	2.383																																																																			
497																									1.515	1.452	1.548	1.638	2.411																																																																			
498																									1.532	1.468	1.565	1.656	2.438																																																																			
499																									1.548	1.484	1.582	1.674	2.465																																																																			
500																									1.568	1.504	1.601	1.695	2.494																																																																			
501																									1.589	1.524	1.623	1.719	2.529																																																																			
502																									1.613	1.546	1.646	1.744	2.567																																																																			
503																									1.636	1.569	1.670	1.769	2.602																																																																			
504																									1.663	1.596	1.698	1.798	2.645																																																																			
505																									1.688	1.620	1.723	1.825	2.686																																																																			
506																									1.714	1.645	1.749	1.853	2.724																																																																			
507																									1.741	1.671	1.778	1.883	2.769																																																																			
508																									1.774	1.703	1.810	1.918	2.816																																																																			
