

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 3
日期	2023/6/29
时间	9:22:19
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	1.060	0.963	1.004	0.503	0.688	0.150																																																																																										
401	1.058	0.961	1.002	0.502	0.687	0.150																																																																																										
402	1.056	0.959	1.001	0.501	0.686	0.150																																																																																										
403	1.054	0.957	0.999	0.500	0.685	0.149																																																																																										
404	1.052	0.955	0.997	0.499	0.683	0.149																																																																																										
405	1.050	0.954	0.995	0.499	0.682	0.149																																																																																										
406	1.048	0.952	0.993	0.498	0.682	0.149																																																																																										
407	1.046	0.950	0.992	0.497	0.681	0.149																																																																																										
408	1.044	0.948	0.990	0.497	0.680	0.149																																																																																										
409	1.042	0.946	0.988	0.496	0.678	0.148																																																																																										
410	1.041	0.945	0.986	0.495	0.677	0.148																																																																																										
411	1.039	0.943	0.985	0.494	0.676	0.148																																																																																										
412	1.037	0.941	0.983	0.494	0.675	0.148																																																																																										
413	1.035	0.939	0.981	0.493	0.674	0.147																																																																																										
414	1.034	0.938	0.980	0.492	0.673	0.147																																																																																										
415	1.032	0.936	0.978	0.491	0.672	0.147																																																																																										
416	1.030	0.934	0.976	0.491	0.671	0.147																																																																																										
417	1.028	0.932	0.975	0.490	0.670	0.146																																																																																										
418	1.026	0.931	0.973	0.489	0.669	0.146																																																																																										
419	1.024	0.929	0.971	0.488	0.668	0.146																																																																																										
420	1.023	0.927	0.970	0.488	0.667	0.146																																																																																										
421	1.021	0.926	0.968	0.487	0.666	0.146																																																																																										
422	1.020	0.925	0.967	0.487	0.665	0.146																																																																																										
423	1.018	0.923	0.965	0.486	0.665	0.145																																																																																										
424	1.017	0.922	0.964	0.485	0.664	0.145																																																																																										
425	1.015	0.920	0.963	0.485	0.663	0.145																																																																																										
426	1.013	0.919	0.961	0.484	0.662	0.145																																																																																										
427	1.012	0.917	0.960	0.484	0.661	0.145																																																																																										
428	1.010	0.916	0.958	0.483	0.660	0.145																																																																																										
429	1.009	0.914	0.957	0.483	0.660	0.145																																																																																										
430	1.007	0.913	0.955	0.482	0.659	0.144																																																																																										
431	1.006	0.911	0.954	0.481	0.658	0.144																																																																																										
432	1.004	0.910	0.952	0.481	0.657	0.144																																																																																										
433	1.002	0.908	0.951	0.480	0.656	0.144																																																																																										
434	1.001	0.907	0.949	0.479	0.655	0.144																																																																																										
435	0.999	0.906	0.948	0.479	0.654	0.144																																																																																										
436	0.997	0.904	0.946	0.478	0.654	0.143																																																																																										
437	0.996	0.903	0.945	0.478	0.653	0.143																																																																																										
438	0.994	0.901	0.943	0.477	0.652	0.143																																																																																										
439	0.993	0.900	0.942	0.476	0.651	0.143																																																																																										
440	0.991	0.898	0.940	0.476	0.650	0.143																																																																																										
441	0.990	0.897	0.939	0.475	0.650	0.143																																																																																										
442	0.988	0.896	0.938	0.475	0.649	0.142																																																																																										
443	0.987	0.895	0.936	0.474	0.648	0.142																																																																																										
444	0.986	0.894	0.935	0.474	0.648	0.142																																																																																										
445	0.984	0.892	0.934	0.473	0.647	0.142																																																																																										
446	0.983	0.891	0.932	0.473	0.646	0.142																																																																																										
447	0.982	0.890	0.931	0.473	0.646	0.142																																																																																										
448	0.981	0.889	0.930	0.472	0.645	0.142																																																																																										
449	0.980	0.889	0.929	0.472	0.645	0.141																																																																																										
450	0.979	0.887	0.928	0.471	0.644	0.141																																																																																										
451	0.977	0.887	0.927	0.471	0.644	0.141																																																																																										
452	0.977	0.886	0.926	0.471	0.643	0.141																																																																																										
453	0.976	0.885	0.926	0.470	0.643	0.141																																																																																										
454	0.975	0.885	0.925	0.470	0.643	0.141																																																																																										
455	0.974	0.884	0.924	0.470	0.642	0.141																																																																																										
456	0.973	0.883	0.923	0.470	0.642	0.140																																																																																										
457	0.973	0.883	0.923	0.469	0.642	0.140																																																																																										
458	0.972	0.882	0.922	0.469	0.641	0.140																																																																																										
459	0.972	0.882	0.922	0.469	0.641	0.140																																																																																										
460	0.971	0.882	0.922	0.469	0.641	0.140																																																																																										
461	0.971	0.882	0.922	0.469	0.641	0.140																																																																																										
462	0.971	0.882	0.921	0.469	0.641	0.140																																																																																										
463	0.971	0.882	0.921	0.469	0.641	0.140																																																																																										
464	0.971	0.882	0.921	0.469	0.641	0.139																																																																																										
465	0.971	0.882	0.921	0.469	0.642	0.139																																																																																										
466	0.971	0.882	0.922	0.469	0.642	0.139																																																																																										
467	0.972	0.883	0.922	0.470	0.642	0.139																																																																																										
468	0.972	0.883	0.923	0.470	0.643	0.139																																																																																										
469	0.973	0.884	0.923	0.470	0.643	0.139																																																																																										
470	0.973	0.885	0.924	0.471	0.644	0.139																																																																																										
471	0.974	0.886	0.925	0.471	0.645	0.139																																																																																										
472	0.975	0.887	0.926	0.472	0.646	0.139																																																																																										
473	0.977	0.889	0.928	0.472	0.647	0.138																																																																																										
