

软件版本	3.11.19



实验文件路径:	
方案文件路径:	



板编号	板 1
日期	2023/9/24
时间	13:15:48
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A5
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.711	0.757	0.781	0.746	0.843																																																																																											
401	0.710	0.756	0.780	0.745	0.842																																																																																											
402	0.710	0.755	0.779	0.744	0.841																																																																																											
403	0.709	0.754	0.778	0.743	0.840																																																																																											
404	0.708	0.753	0.777	0.742	0.839																																																																																											
405	0.707	0.752	0.776	0.741	0.838																																																																																											
406	0.706	0.751	0.775	0.740	0.837																																																																																											
407	0.705	0.751	0.775	0.739	0.836																																																																																											
408	0.704	0.750	0.774	0.738	0.835																																																																																											
409	0.703	0.749	0.773	0.737	0.834																																																																																											
410	0.702	0.747	0.772	0.736	0.833																																																																																											
411	0.701	0.747	0.771	0.735	0.832																																																																																											
412	0.700	0.745	0.770	0.734	0.831																																																																																											
413	0.699	0.744	0.769	0.733	0.830																																																																																											
414	0.698	0.743	0.768	0.732	0.829																																																																																											
415	0.697	0.742	0.767	0.731	0.828																																																																																											
416	0.696	0.741	0.766	0.730	0.827																																																																																											
417	0.696	0.740	0.765	0.729	0.825																																																																																											
418	0.694	0.739	0.764	0.727	0.824																																																																																											
419	0.693	0.738	0.763	0.727	0.823																																																																																											
420	0.693	0.737	0.762	0.725	0.822																																																																																											
421	0.692	0.736	0.761	0.724	0.821																																																																																											
422	0.691	0.735	0.760	0.724	0.820																																																																																											
423	0.690	0.734	0.759	0.723	0.819																																																																																											
424	0.689	0.733	0.758	0.722	0.818																																																																																											
425	0.688	0.732	0.757	0.721	0.817																																																																																											
426	0.687	0.731	0.756	0.720	0.816																																																																																											
427	0.687	0.730	0.755	0.719	0.815																																																																																											
428	0.685	0.729	0.754	0.718	0.813																																																																																											
429	0.684	0.728	0.753	0.716	0.812																																																																																											
430	0.683	0.726	0.751	0.715	0.811																																																																																											
431	0.682	0.725	0.750	0.714	0.810																																																																																											
432	0.681	0.724	0.749	0.713	0.808																																																																																											
433	0.681	0.723	0.748	0.712	0.807																																																																																											
434	0.679	0.722	0.747	0.711	0.806																																																																																											
435	0.678	0.721	0.745	0.710	0.804																																																																																											
436	0.677	0.719	0.744	0.708	0.803																																																																																											
437	0.676	0.718	0.743	0.707	0.802																																																																																											
438	0.675	0.717	0.742	0.706	0.801																																																																																											
439	0.674	0.716	0.740	0.705	0.799																																																																																											
440	0.672	0.715	0.739	0.704	0.798																																																																																											
441	0.672	0.714	0.738	0.703	0.797																																																																																											
442	0.670	0.712	0.737	0.701	0.796																																																																																											
443	0.669	0.711	0.736	0.700	0.794																																																																																											
444	0.668	0.710	0.734	0.699	0.793																																																																																											
445	0.667	0.709	0.733	0.698	0.792																																																																																											
446	0.666	0.707	0.732	0.697	0.790																																																																																											
447	0.665	0.706	0.731	0.696	0.789																																																																																											
448	0.664	0.705	0.730	0.694	0.788																																																																																											
449	0.663	0.704	0.728	0.693	0.787																																																																																											
450	0.661	0.703	0.727	0.692	0.786																																																																																											
451	0.660	0.702	0.726	0.691	0.784																																																																																											
452	0.660	0.701	0.725	0.690	0.783																																																																																											
453	0.658	0.700	0.724	0.689	0.782																																																																																											
454	0.657	0.699	0.723	0.688	0.781																																																																																											
455	0.656	0.697	0.722	0.687	0.780																																																																																											
456	0.655	0.696	0.721	0.686	0.778																																																																																											
457	0.655	0.695	0.720	0.685	0.777																																																																																											
458	0.654	0.694	0.719	0.684	0.776																																																																																											
459	0.654	0.693	0.718	0.683	0.775																																																																																											
460	0.653	0.693	0.717	0.683	0.774																																																																																											
461	0.652	0.692	0.716	0.682	0.774																																																																																											
462	0.651	0.691	0.716	0.681	0.773																																																																																											
463	0.650	0.691	0.715	0.680	0.772																																																																																											
464	0.649	0.690	0.714	0.680	0.771																																																																																											
465	0.649	0.689	0.713	0.679	0.770																																																																																											
466	0.648	0.688	0.712	0.678	0.769																																																																																											
467	0.648	0.688	0.712	0.678	0.769																																																																																											
468	0.647	0.687	0.711	0.677	0.768																																																																																											
469	0.647	0.687	0.711	0.677	0.767																																																																																											
470	0.646	0.686	0.710	0.676	0.767																																																																																											
471	0.646	0.686	0.710	0.676	0.766																																																																																											
472	0.646	0.685	0.710	0.676	0.766																																																																																											
473	0.646	0.685	0.710	0.676	0.766																																																																																											
474	0.645	0.685	0.709	0.676	0.766																																																																																											
475	0.646	0.685	0.710	0.676	0.766																																																																																											
476	0.646	0.685	0.710	0.676	0.766																																																																																											
477	0.646	0.686	0.710	0.677	0.766																																																																																											
478	0.647	0.686	0.711	0.677	0.767																																																																																											
479	0.647	0.687	0.712	0.678	0.767																																																																																											
480	0.648	0.688	0.713	0.679	0.768																																																																																											
481	0.650	0.689	0.714	0.681	0.770																																																																																											
482	0.652	0.691	0.716	0.682	0.771																																																																																											
483	0.654	0.693	0.717	0.684	0.773																																																																																											
484	0.655	0.695	0.719	0.686	0.775																																																																																											
485	0.656	0.696	0.721	0.688	0.777																																																																																											
486	0.657	0.698	0.723	0.690	0.779																																																																																											
487	0.660	0.702	0.726	0.693	0.782																																																																																											
488	0.664	0.705	0.730	0.696	0.786																																																																																											
489	0.667	0.709	0.733	0.700	0.790																																																																																											
490	0.670	0.713	0.737	0.704	0.794																																																																																											
491	0.676	0.718	0.743	0.710	0.800																																																																																											
492	0.680	0.723	0.748	0.714	0.805																																																																																											
