

软件版本	3.11.19



实验文件路径:	
方案文件路径:	



板编号	板 3
日期	2023/12/18
时间	15:11:55
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A5
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.774	0.658	0.907	0.834	1.024																																																																																											
401	0.772	0.658	0.905	0.833	1.023																																																																																											
402	0.772	0.657	0.904	0.832	1.021																																																																																											
403	0.771	0.656	0.903	0.830	1.020																																																																																											
404	0.769	0.655	0.902	0.829	1.018																																																																																											
405	0.768	0.654	0.901	0.828	1.017																																																																																											
406	0.767	0.653	0.900	0.826	1.016																																																																																											
407	0.766	0.653	0.899	0.825	1.014																																																																																											
408	0.765	0.652	0.898	0.824	1.013																																																																																											
409	0.764	0.651	0.896	0.823	1.011																																																																																											
410	0.763	0.650	0.895	0.821	1.010																																																																																											
411	0.761	0.649	0.894	0.820	1.008																																																																																											
412	0.761	0.648	0.893	0.819	1.007																																																																																											
413	0.760	0.647	0.892	0.818	1.005																																																																																											
414	0.759	0.647	0.891	0.817	1.004																																																																																											
415	0.758	0.646	0.889	0.815	1.002																																																																																											
416	0.757	0.645	0.888	0.814	1.001																																																																																											
417	0.756	0.644	0.887	0.813	0.999																																																																																											
418	0.755	0.643	0.886	0.812	0.997																																																																																											
419	0.754	0.642	0.885	0.810	0.996																																																																																											
420	0.753	0.641	0.884	0.809	0.994																																																																																											
421	0.752	0.641	0.882	0.808	0.993																																																																																											
422	0.751	0.640	0.882	0.807	0.992																																																																																											
423	0.750	0.639	0.880	0.806	0.991																																																																																											
424	0.749	0.639	0.880	0.805	0.989																																																																																											
425	0.748	0.638	0.878	0.804	0.988																																																																																											
426	0.748	0.637	0.877	0.803	0.987																																																																																											
427	0.746	0.637	0.876	0.802	0.986																																																																																											
428	0.746	0.636	0.875	0.801	0.984																																																																																											
429	0.745	0.635	0.874	0.800	0.983																																																																																											
430	0.743	0.634	0.873	0.798	0.981																																																																																											
431	0.743	0.633	0.871	0.797	0.980																																																																																											
432	0.742	0.633	0.870	0.796	0.978																																																																																											
433	0.741	0.632	0.869	0.795	0.977																																																																																											
434	0.741	0.631	0.867	0.794	0.976																																																																																											
435	0.739	0.630	0.866	0.793	0.974																																																																																											
436	0.738	0.629	0.865	0.792	0.973																																																																																											
437	0.737	0.629	0.864	0.791	0.972																																																																																											
438	0.736	0.628	0.862	0.790	0.970																																																																																											
439	0.735	0.627	0.861	0.789	0.969																																																																																											
440	0.734	0.626	0.860	0.787	0.967																																																																																											
441	0.732	0.626	0.858	0.786	0.966																																																																																											
442	0.731	0.625	0.857	0.785	0.965																																																																																											
443	0.729	0.624	0.855	0.784	0.964																																																																																											
444	0.729	0.623	0.854	0.783	0.962																																																																																											
445	0.728	0.623	0.853	0.782	0.961																																																																																											
446	0.727	0.622	0.852	0.781	0.959																																																																																											
447	0.726	0.621	0.851	0.780	0.958																																																																																											
448	0.725	0.621	0.850	0.780	0.957																																																																																											
449	0.724	0.620	0.848	0.779	0.956																																																																																											
450	0.722	0.619	0.847	0.778	0.955																																																																																											
451	0.722	0.619	0.846	0.777	0.954																																																																																											
452	0.721	0.618	0.845	0.776	0.953																																																																																											
