

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 5
日期	2023/7/17
时间	13:30:10
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.380	0.363	0.353	0.369	0.407	0.448																																																																																										
401	0.379	0.363	0.353	0.368	0.406	0.448																																																																																										
402	0.378	0.362	0.352	0.367	0.405	0.446																																																																																										
403	0.378	0.361	0.351	0.367	0.405	0.446																																																																																										
404	0.377	0.360	0.350	0.366	0.404	0.445																																																																																										
405	0.376	0.360	0.350	0.365	0.403	0.444																																																																																										
406	0.375	0.359	0.349	0.364	0.403	0.443																																																																																										
407	0.374	0.358	0.348	0.364	0.402	0.442																																																																																										
408	0.374	0.357	0.348	0.363	0.401	0.442																																																																																										
409	0.373	0.357	0.347	0.362	0.400	0.441																																																																																										
410	0.373	0.356	0.347	0.362	0.400	0.440																																																																																										
411	0.372	0.355	0.346	0.361	0.399	0.439																																																																																										
412	0.371	0.355	0.346	0.360	0.398	0.439																																																																																										
413	0.371	0.354	0.345	0.360	0.398	0.438																																																																																										
414	0.370	0.353	0.344	0.359	0.397	0.437																																																																																										
415	0.369	0.353	0.344	0.359	0.397	0.436																																																																																										
416	0.369	0.352	0.344	0.358	0.396	0.436																																																																																										
417	0.368	0.352	0.343	0.357	0.396	0.435																																																																																										
418	0.368	0.351	0.343	0.357	0.395	0.434																																																																																										
419	0.367	0.351	0.342	0.356	0.394	0.433																																																																																										
420	0.367	0.350	0.342	0.356	0.394	0.433																																																																																										
421	0.366	0.350	0.342	0.355	0.393	0.432																																																																																										
422	0.366	0.349	0.341	0.355	0.393	0.432																																																																																										
423	0.365	0.349	0.341	0.354	0.392	0.431																																																																																										
424	0.365	0.348	0.340	0.354	0.392	0.431																																																																																										
425	0.365	0.348	0.340	0.354	0.392	0.430																																																																																										
426	0.364	0.348	0.340	0.353	0.391	0.430																																																																																										
427	0.364	0.347	0.339	0.353	0.391	0.429																																																																																										
428	0.363	0.347	0.339	0.352	0.390	0.429																																																																																										
429	0.363	0.346	0.339	0.352	0.390	0.428																																																																																										
430	0.362	0.346	0.338	0.352	0.389	0.428																																																																																										
431	0.362	0.346	0.338	0.351	0.389	0.427																																																																																										
432	0.362	0.345	0.338	0.351	0.388	0.427																																																																																										
433	0.362	0.345	0.337	0.350	0.388	0.426																																																																																										
434	0.361	0.345	0.337	0.350	0.388	0.426																																																																																										
435	0.361	0.344	0.337	0.350	0.387	0.426																																																																																										
436	0.360	0.344	0.336	0.349	0.387	0.425																																																																																										
437	0.360	0.344	0.336	0.349	0.387	0.425																																																																																										
438	0.360	0.344	0.336	0.349	0.386	0.424																																																																																										
439	0.359	0.343	0.335	0.348	0.386	0.424																																																																																										
440	0.359	0.343	0.335	0.348	0.386	0.424																																																																																										
441	0.359	0.343	0.335	0.348	0.386	0.424																																																																																										
442	0.359	0.343	0.335	0.348	0.386	0.424																																																																																										
443	0.358	0.343	0.335	0.348	0.386	0.423																																																																																										
444	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
445	0.358	0.342	0.335	0.347	0.385	0.423																																																																																										
446	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
447	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
448	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
449	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
450	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
451	0.358	0.343	0.335	0.348	0.385	0.423																																																																																										
452	0.358	0.343	0.335	0.348	0.386	0.424																																																																																										
453	0.358	0.343	0.336	0.348	0.386	0.424																																																																																										
454	0.359	0.344	0.336	0.348	0.386	0.424																																																																																										
455	0.359	0.344	0.336	0.349	0.386	0.424																																																																																										
456	0.359	0.344	0.337	0.349	0.387	0.424																																																																																										
457	0.359	0.344	0.337	0.349	0.387	0.425																																																																																										
458	0.360	0.344	0.337	0.350	0.387	0.425																																																																																										
459	0.360	0.345	0.338	0.350	0.387	0.426																																																																																										
460	0.360	0.346	0.338	0.351	0.388	0.426																																																																																										
461	0.361	0.346	0.339	0.351	0.389	0.427																																																																																										
462	0.361	0.347	0.339	0.351	0.389	0.428																																																																																										
463	0.362	0.347	0.340	0.352	0.390	0.428																																																																																										
464	0.362	0.348	0.340	0.353	0.390	0.429																																																																																										
465	0.363	0.348	0.341	0.353	0.391	0.430																																																																																										
466	0.364	0.349	0.342	0.354	0.392	0.431																																																																																										
467	0.364	0.350	0.343	0.355	0.393	0.432																																																																																										
468	0.365	0.351	0.344	0.356	0.394	0.433																																																																																										
469	0.366	0.352	0.345	0.357	0.395	0.434																																																																																										
470	0.367	0.353	0.346	0.358	0.396	0.435																																																																																										
471	0.368	0.354	0.347	0.359	0.397	0.436																																																																																										
472	0.369	0.356	0.348	0.360	0.398	0.438																																																																																										
473	0.371	0.357	0.350	0.362	0.400	0.439																																																																																										
474	0.372	0.359	0.351	0.363	0.401	0.441																																																																																										
475	0.374	0.360	0.353	0.365	0.403	0.443																																																																																										
476	0.375	0.362	0.355	0.367	0.405	0.445																																																																																										
477	0.377	0.364	0.357	0.369	0.407	0.447																																																																																										
478	0.379	0.366	0.359	0.371	0.409	0.450																																																																																										
479	0.381	0.368	0.361	0.373	0.411	0.452																																																																																										
480	0.384	0.371	0.364	0.376	0.414	0.455																																																																																										
481	0.387	0.374	0.367	0.379	0.417	0.458																																																																																										
482	0.390	0.377	0.370	0.382	0.420	0.462																																																																																										
483	0.393	0.381	0.373	0.385	0.422	0.465																																																																																										
484	0.395	0.383	0.375	0.388	0.425	0.468																																																																																										
485	0.398	0.386	0.378	0.390	0.428	0.472																																																																																										
486	0.401	0.389	0.381	0.394	0.432	0.475																																																																																										
487	0.406	0.394	0.386	0.398	0.437	0.480																																																																																										
488	0.409	0.398	0.389	0.402	0.440	0.485																																																																																										
489	0.414	0.402	0.394	0.406	0.445	0.489																																																																																										
490	0.419	0.407	0.399	0.411	0.450	0.495																																																																																										
491	0.424	0.413	0.404	0.417	0.456	0.501																																																																																										
492	0.429	0.418	0.409	0.422	0.461	0.507																																																																																										
493	0.434	0.423	0.414	0.427	0.466	0.512																																																																																										
494	0.440	0.429	0.420	0.432	0.472	0.519																																																																																										
495	0.448	0.437	0.427	0.440	0.479	0.527																																																																																										
496	0.457	0.446	0.435	0.448	0.487	0.536																																																																																										
497	0.464	0.452	0.442	0.455	0.494	0.543																																																																																										
498	0.471	0.460	0.449	0.462	0.502	0.551																																																																																										
499	0.478	0.467	0.456	0.469	0.508	0.558																																																																																										
500	0.486	0.475	0.464	0.476	0.517	0.567																																																																																										
501	0.495	0.484	0.472	0.485	0.525	0.576																																																																																										
502	0.505	0.493	0.481	0.493	0.534	0.586																																																																																										
503	0.514	0.502	0.489	0.503	0.543	0.595																																																																																										
504	0.525	0.513	0.499	0.513	0.553	0.606																																																																																										
505	0.535	0.522	0.508	0.521	0.562	0.616																																																																																										
506	0.544	0.531	0.517	0.530	0.571	0.625																																																																																										
507	0.555	0.542	0.527	0.540	0.581	0.635																																																																																										
508	0.566	0.553	0.537	0.551	0.592	0.646																																																																																										
509	0.577	0.564	0.547	0.561	0.602	0.657																																																																																										
510	0.589	0.575	0.558	0.571	0.612	0.669																																																																																										
511	0.599	0.585	0.567	0.581	0.622	0.678																																																																																										
512	0.610	0.596	0.577	0.591	0.632	0.690																																																																																										
513	0.620	0.606	0.587	0.601	0.642	0.700																																																																																										
514	0.630	0.616	0.596	0.611	0.651	0.709																																																																																										
515	0.640	0.625	0.604	0.620	0.660	0.718																																																																																										
516	0.648	0.633	0.612	0.627	0.668	0.726																																																																																										
517	0.658	0.643	0.621	0.637	0.677	0.736																																																																																										
518	0.666	0.651	0.629	0.645	0.685	0.744																																																																																										
519	0.673	0.658	0.635	0.652	0.692	0.751																																																																																										
520	0.678	0.664	0.641	0.658	0.698	0.757																																																																																										
521	0.684	0.670	0.646	0.664	0.704	0.763																																																																																										
522	0.688	0.675	0.651	0.669	0.710	0.768																																																																																										
523	0.692	0.679	0.656	0.674	0.715	0.773																																																																																										
524	0.694	0.682	0.659	0.678	0.719	0.776																																																																																										
525	0.696	0.684	0.661	0.680	0.721	0.779																																																																																										
526	0.695	0.685	0.662	0.682	0.723	0.781																																																																																										
527	0.693	0.684	0.662	0.682	0.723	0.781																																																																																										
528	0.691	0.683	0.661	0.682	0.723	0.780																																																																																										
529	0.688	0.680	0.659	0.681	0.723	0.779																																																																																										
530	0.684	0.677	0.656	0.679	0.721	0.777																																																																																										
531	0.678	0.672	0.652	0.675	0.718	0.773																																																																																										
532	0.670	0.665	0.646	0.670	0.713	0.768																																																																																										
533	0.662	0.658	0.640	0.664	0.708	0.762																																																																																										
534	0.653	0.650	0.633	0.658	0.702	0.756																																																																																										
535	0.643	0.641	0.625	0.650	0.695	0.748																																																																																										
536	0.632	0.631	0.615	0.641	0.686	0.739																																																																																										
537	0.621	0.620	0.605	0.632	0.678	0.730																																																																																										
