

软件版本	3.11.19



实验文件路径:	
方案文件路径:	



板编号	板 1
日期	2023/7/25
时间	8:57:46
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	H1..H6
	开始: 400 nm,  停止: 999 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400																																																																																					0.241	0.278	0.320	0.299	0.299	0.320						
401																																																																																					0.241	0.278	0.319	0.298	0.299	0.320						
402																																																																																					0.240	0.277	0.319	0.298	0.299	0.319						
403																																																																																					0.240	0.277	0.319	0.297	0.298	0.318						
404																																																																																					0.239	0.277	0.318	0.297	0.297	0.318						
405																																																																																					0.239	0.277	0.318	0.297	0.297	0.317						
406																																																																																					0.239	0.276	0.317	0.296	0.297	0.317						
407																																																																																					0.239	0.276	0.317	0.296	0.296	0.316						
408																																																																																					0.238	0.276	0.317	0.295	0.296	0.316						
409																																																																																					0.238	0.275	0.316	0.295	0.295	0.315						
410																																																																																					0.238	0.275	0.316	0.294	0.295	0.315						
411																																																																																					0.237	0.275	0.315	0.294	0.294	0.314						
412																																																																																					0.237	0.274	0.315	0.294	0.294	0.314						
413																																																																																					0.237	0.274	0.315	0.293	0.293	0.313						
414																																																																																					0.237	0.274	0.314	0.293	0.293	0.313						
415																																																																																					0.236	0.273	0.314	0.292	0.293	0.313						
416																																																																																					0.236	0.273	0.314	0.292	0.292	0.312						
417																																																																																					0.236	0.273	0.313	0.291	0.292	0.312						
418																																																																																					0.235	0.272	0.313	0.291	0.291	0.311						
419																																																																																					0.235	0.272	0.312	0.291	0.291	0.311						
420																																																																																					0.235	0.271	0.312	0.290	0.290	0.310						
421																																																																																					0.235	0.271	0.312	0.290	0.290	0.310						
422																																																																																					0.235	0.271	0.311	0.289	0.290	0.309						
423																																																																																					0.234	0.271	0.311	0.289	0.289	0.309						
424																																																																																					0.234	0.270	0.310	0.289	0.289	0.309						
425																																																																																					0.234	0.270	0.310	0.288	0.288	0.308						
426																																																																																					0.234	0.270	0.310	0.288	0.288	0.308						
427																																																																																					0.234	0.270	0.309	0.287	0.288	0.307						
428																																																																																					0.233	0.269	0.309	0.287	0.287	0.307						
429																																																																																					0.233	0.269	0.308	0.287	0.287	0.307						
430																																																																																					0.233	0.269	0.308	0.286	0.286	0.306						
431																																																																																					0.232	0.268	0.308	0.286	0.286	0.306						
432																																																																																					0.232	0.268	0.307	0.285	0.286	0.305						
433																																																																																					0.232	0.268	0.307	0.285	0.285	0.305						
434																																																																																					0.232	0.267	0.306	0.284	0.285	0.305						
435																																																																																					0.231	0.267	0.306	0.284	0.284	0.304						
436																																																																																					0.231	0.267	0.305	0.284	0.284	0.304						
437																																																																																					0.231	0.266	0.305	0.283	0.283	0.303						
438																																																																																					0.231	0.266	0.304	0.283	0.283	0.303						
439																																																																																					0.231	0.265	0.304	0.282	0.283	0.302						
440																																																																																					0.230	0.265	0.304	0.282	0.282	0.302						
441																																																																																					0.230	0.265	0.303	0.281	0.282	0.302						
442																																																																																					0.230	0.265	0.303	0.281	0.282	0.301						
443																																																																																					0.230	0.264	0.302	0.281	0.281	0.301						
